Year,Quarter,Origin,Commodity,Tons
2000,1,MEXICO-TOTAL,Turnips,838.718
2000,1,MEXICO-TOTAL,"Lettuce, Romaine",816.5975
2000,1,MEXICO-TOTAL,Blackberries,804.761
2000,1,MEXICO-TOTAL,Raspberries,675.9825
2000,1,MEXICO-TOTAL,"Beans, Round Green Type",430.7015
2000,1,MEXICO-TOTAL,"Lettuce, Green Leaf",424.8895
2000,1,MEXICO-TOTAL,Okra,402.859
2000,1,MEXICO-TOTAL,Mixed And Misc Melons,362.8875
2000,1,MEXICO-TOTAL,"Lettuce, Red Leaf",314.8525
2000,1,MEXICO-TOTAL,Gai Lan,312.2365
2000,1,MEXICO-TOTAL,Oregano,301.5235
2000,1,MEXICO-TOTAL,"Greens, Swiss Chard",255.9545
2000,1,MEXICO-TOTAL,Tamarind,250.4035
2000,1,MEXICO-TOTAL,Bok Choy,165.179
2000,1,MEXICO-TOTAL,"Greens, Collard",139.8295
2000,1,MEXICO-TOTAL,Fruits Other,128.436
2000,1,MEXICO-TOTAL,"Greens, Mustard",125.7645
2000,1,MEXICO-TOTAL,"Lettuce, Boston",116.2115
2000,1,MEXICO-TOTAL,"Greens, Broccoli Rabe (Rappini)",114.817
2000,1,MEXICO-TOTAL,Anise,92.623
2000,1,MEXICO-TOTAL,Cactus Pears,87.2115
2000,1,MEXICO-TOTAL,Chives,86.15
2000,1,MEXICO-TOTAL,Greens,81.6695
2000,1,MEXICO-TOTAL,"Beans, Fava",66.1385
2000,1,MEXICO-TOTAL,Lemons,57.4125
2000,1,MEXICO-TOTAL,Pumpkins,48.703
2000,1,MEXICO-TOTAL,Basil,45.1135
2000,1,MEXICO-TOTAL,Radicchio,44.255
2000,1,MEXICO-TOTAL,"Beans, Lima",34.202
2000,1,MEXICO-TOTAL,Aloe Leaves,34.044
2000,1,MEXICO-TOTAL,Escarole,33.638
2000,1,MEXICO-TOTAL,Endive,25.386
2000,1,MEXICO-TOTAL,Dill,24.288
