"year","state","state_ansi","price_overall","price_fresh","price_processing","production_dollars_total","production_cwt_total","production_dollars_fresh","production_dollars_processing","production_cwt_utilized","production_cwt_processing","production_cwt_fresh","production_cwt_fresh_inferred","production_cwt_processing_inferred","production_cwt_total_inferred"
2012,"CALIFORNIA","06",77.1,94.4,32,2130637000,27646000,1947917000,182720000,NA,5710000,21936000,20634713.9830508,5710000,27634721.1413748
2012,"FLORIDA","12",110,NA,NA,244860000,2226000,244860000,NA,NA,NA,2226000,NA,NA,2226000
2012,"MICHIGAN","26",146,149,58,4826000,33000,4768000,58000,NA,1000,32000,32000,1000,33054.794520548
2012,"NEW YORK","36",215,215,NA,6880000,32000,6880000,NA,NA,NA,32000,32000,NA,32000
2012,"NORTH CAROLINA","37",145,145,NA,23490000,162000,23490000,NA,NA,NA,162000,162000,NA,162000
2012,"OHIO","39",168,168,NA,4200000,25000,4200000,NA,NA,NA,25000,25000,NA,25000
2012,"OREGON","41",71.3,139,58,15189000,213000,4865000,10324000,NA,178000,35000,35000,178000,213029.453015428
2012,"OTHER STATES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"PENNSYLVANIA","42",164,164,NA,6888000,42000,6888000,NA,NA,NA,42000,42000,NA,42000
2012,"WASHINGTON","53",100,177,77,10331000,103000,4248000,6083000,NA,79000,24000,24000,79000,103310
2012,"WISCONSIN","55",151,151,NA,5738000,38000,5738000,NA,NA,NA,38000,38000,NA,38000
2013,"CALIFORNIA","06",79.8,NA,34,2200729000,27573000,2024779000,175950000,NA,5175000,22398000,NA,5175000,27578057.6441103
2013,"FLORIDA","12",143,NA,NA,333476000,2332000,333476000,NA,NA,NA,2332000,NA,NA,2332000
2013,"MICHIGAN","26",161,NA,NA,7095000,44000,NA,NA,NA,NA,NA,NA,NA,44068.3229813665
2013,"NEW YORK","36",203,203,NA,7729000,38000,7729000,NA,NA,NA,38000,38073.8916256158,NA,38073.8916256158
2013,"NORTH CAROLINA","37",148,148,NA,16280000,110000,16280000,NA,NA,NA,110000,110000,NA,110000
2013,"OHIO","39",209,209,NA,6061000,29000,6061000,NA,NA,NA,29000,29000,NA,29000
2013,"OREGON","41",63.7,167,48,10634000,167000,3674000,6960000,NA,145000,22000,22000,145000,166938.775510204
2013,"OTHER STATES",NA,NA,175,73.2,NA,NA,11563000,4758000,NA,65000,66000,66074.2857142857,65000,NA
2013,"PENNSYLVANIA","42",223,223,NA,11373000,51000,11373000,NA,NA,NA,51000,51000,NA,51000
2013,"WASHINGTON","53",106,NA,NA,9226000,87000,NA,NA,NA,NA,NA,NA,NA,87037.7358490566
2013,"WISCONSIN","55",165,165,NA,6435000,39000,6435000,NA,NA,NA,39000,39000,NA,39000
2014,"CALIFORNIA","06",88.4,87.6,41.5,2437918000,27592000,2.21e+09,227918000,NA,5492000,22100000,25228310.5022831,5492000,27578257.918552
2014,"FLORIDA","12",148,NA,NA,306508000,2071000,306508000,NA,NA,NA,2071000,NA,NA,2071000
2014,"MICHIGAN","26",161,NA,NA,7258000,45000,NA,NA,NA,NA,NA,NA,NA,45080.7453416149
2014,"NEW YORK","36",235,235,NA,7520000,32000,7520000,NA,NA,NA,32000,32000,NA,32000
2014,"NORTH CAROLINA","37",152,152,NA,23408000,154000,23408000,NA,NA,NA,154000,154000,NA,154000
2014,"OHIO","39",193,193,NA,3474000,18000,3474000,NA,NA,NA,18000,18000,NA,18000
2014,"OREGON","41",84.7,161,70,13125000,155000,4025000,9100000,NA,130000,25000,25000,130000,154958.67768595
2014,"OTHER STATES",NA,NA,180,75.2,NA,NA,12940000,5411000,NA,72000,72000,71888.8888888889,71954.7872340426,NA
2014,"PENNSYLVANIA","42",160,160,NA,5280000,33000,5280000,NA,NA,NA,33000,33000,NA,33000
2014,"WASHINGTON","53",112,NA,NA,11093000,99000,NA,NA,NA,NA,NA,NA,NA,99044.6428571429
2014,"WISCONSIN","55",165,165,NA,6270000,38000,6270000,NA,NA,NA,38000,38000,NA,38000
2015,"CALIFORNIA","06",67.7,73.9,45.8,1875483000,27697000,1596240000,279243000,NA,6097000,21600000,21600000,6097008.73362445,27702850.8124077
2015,"FLORIDA","12",119,119,NA,290598000,2442000,290598000,NA,NA,NA,2442000,2442000,NA,2442000
2015,"MICHIGAN","26",156,NA,NA,4375000,28000,NA,NA,NA,NA,NA,NA,NA,28044.8717948718
2015,"NEW YORK","36",254,254,NA,7366000,29000,7366000,NA,NA,NA,29000,29000,NA,29000
2015,"NORTH CAROLINA","37",164,164,NA,23452000,143000,23452000,NA,NA,NA,143000,143000,NA,143000
2015,"OHIO","39",170,170,NA,3910000,23000,3910000,NA,NA,NA,23000,23000,NA,23000
2015,"OREGON","41",86,170,73,13255000,155000,3400000,9855000,NA,135000,20000,20000,135000,154127.906976744
